time,id,x,y,angle,type,speed,pos,lane,slope
0.00,0,312.30,-1.60,90.00,DEFAULT_VEHTYPE,0.00,5.10,D0E0_0,0.00
1.00,0,314.82,-1.60,90.00,DEFAULT_VEHTYPE,2.52,7.62,D0E0_0,0.00
1.00,1,98.40,187.70,180.00,DEFAULT_VEHTYPE,0.00,5.10,B2B1_0,0.00
2.00,0,318.97,-1.60,90.00,DEFAULT_VEHTYPE,4.15,11.77,D0E0_0,0.00
2.00,1,98.40,185.49,180.00,DEFAULT_VEHTYPE,2.21,7.31,B2B1_0,0.00
2.00,2,312.30,198.40,90.00,DEFAULT_VEHTYPE,0.00,5.10,D2E2_0,0.00
3.00,0,324.67,-1.60,90.00,DEFAULT_VEHTYPE,5.70,17.47,D0E0_0,0.00
3.00,1,98.40,180.99,180.00,DEFAULT_VEHTYPE,4.51,11.81,B2B1_0,0.00
3.00,2,314.38,198.40,90.00,DEFAULT_VEHTYPE,2.08,7.18,D2E2_0,0.00
3.00,3,401.60,112.30,0.00,DEFAULT_VEHTYPE,0.00,5.10,E1E2_0,0.00
4.00,0,332.90,-1.60,90.00,DEFAULT_VEHTYPE,8.23,25.70,D0E0_0,0.00
4.00,1,98.40,174.08,180.00,DEFAULT_VEHTYPE,6.90,18.72,B2B1_0,0.00
4.00,2,319.04,198.40,90.00,DEFAULT_VEHTYPE,4.66,11.84,D2E2_0,0.00
4.00,3,401.60,114.85,0.00,DEFAULT_VEHTYPE,2.55,7.65,E1E2_0,0.00
4.00,4,212.30,-1.60,90.00,DEFAULT_VEHTYPE,0.00,5.10,C0D0_0,0.00
5.00,0,342.74,-1.60,90.00,DEFAULT_VEHTYPE,9.84,35.54,D0E0_0,0.00
5.00,1,98.40,165.49,180.00,DEFAULT_VEHTYPE,8.59,27.31,B2B1_0,0.00
5.00,2,325.06,198.40,90.00,DEFAULT_VEHTYPE,6.02,17.86,D2E2_0,0.00
5.00,3,401.60,119.93,0.00,DEFAULT_VEHTYPE,5.08,12.73,E1E2_0,0.00
5.00,4,213.73,-1.60,90.00,DEFAULT_VEHTYPE,1.43,6.53,C0D0_0,0.00
5.00,5,98.40,87.70,180.00,DEFAULT_VEHTYPE,0.00,5.10,B1B0_0,0.00
6.00,0,354.46,-1.60,90.00,DEFAULT_VEHTYPE,11.72,47.26,D0E0_0,0.00
6.00,1,98.40,155.19,180.00,DEFAULT_VEHTYPE,10.31,37.61,B2B1_0,0.00
6.00,2,333.28,198.40,90.00,DEFAULT_VEHTYPE,8.22,26.08,D2E2_0,0.00
6.00,3,401.60,127.01,0.00,DEFAULT_VEHTYPE,7.07,19.81,E1E2_0,0.00
6.00,4,217.77,-1.60,90.00,DEFAULT_VEHTYPE,4.03,10.57,C0D0_0,0.00
6.00,5,98.40,86.03,180.00,DEFAULT_VEHTYPE,1.67,6.77,B1B0_0,0.00
6.00,6,-1.60,87.70,180.00,DEFAULT_VEHTYPE,0.00,5.10,A1A0_0,0.00
7.00,0,368.04,-1.60,90.00,DEFAULT_VEHTYPE,13.59,60.84,D0E0_0,0.00
7.00,1,98.40,143.14,180.00,DEFAULT_VEHTYPE,12.05,49.66,B2B1_0,0.00
7.00,2,343.77,198.40,90.00,DEFAULT_VEHTYPE,10.49,36.57,D2E2_0,0.00
7.00,3,401.60,136.26,0.00,DEFAULT_VEHTYPE,9.25,29.06,E1E2_0,0.00
7.00,4,223.97,-1.60,90.00,DEFAULT_VEHTYPE,6.21,16.77,C0D0_0,0.00
7.00,5,98.40,82.48,180.00,DEFAULT_VEHTYPE,3.56,10.32,B1B0_0,0.00
7.00,6,-1.60,85.82,180.00,DEFAULT_VEHTYPE,1.88,6.98,A1A0_0,0.00
7.00,7,287.70,101.60,270.00,DEFAULT_VEHTYPE,0.00,5.10,D1C1_0,0.00
8.00,0,382.71,-1.60,90.00,DEFAULT_VEHTYPE,14.66,75.51,D0E0_0,0.00
8.00,1,98.40,130.71,180.00,DEFAULT_VEHTYPE,12.43,62.09,B2B1_0,0.00
8.00,2,355.91,198.40,90.00,DEFAULT_VEHTYPE,12.14,48.71,D2E2_0,0.00
