time,id,eclass,CO2,CO,HC,NOx,PMx,fuel,electricity,noise,route,type,waiting,lane,pos,speed,angle,x,y
0.00,0,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.20,0.07,837.22,0.00,55.94,!0,DEFAULT_VEHTYPE,0.00,D0E0_0,5.10,0.00,90.00,312.30,-1.60
1.00,0,HBEFA3/PC_G_EU4,4005.83,151.29,0.78,1.79,0.09,1277.71,0.00,68.01,!0,DEFAULT_VEHTYPE,0.00,D0E0_0,7.62,2.52,90.00,314.82,-1.60
1.00,1,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.20,0.07,837.22,0.00,55.94,!1,DEFAULT_VEHTYPE,0.00,B2B1_0,5.10,0.00,180.00,98.40,187.70
2.00,0,HBEFA3/PC_G_EU4,3983.26,126.58,0.67,1.73,0.08,1270.50,0.00,64.78,!0,DEFAULT_VEHTYPE,0.00,D0E0_0,11.77,4.15,90.00,318.97,-1.60
2.00,1,HBEFA3/PC_G_EU4,3644.83,148.83,0.76,1.63,0.08,1162.57,0.00,66.49,!1,DEFAULT_VEHTYPE,0.00,B2B1_0,7.31,2.21,180.00,98.40,185.49
2.00,2,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.20,0.07,837.22,0.00,55.94,!2,DEFAULT_VEHTYPE,0.00,D2E2_0,5.10,0.00,90.00,312.30,198.40
3.00,0,HBEFA3/PC_G_EU4,4443.10,115.03,0.63,1.91,0.09,1417.16,0.00,65.14,!0,DEFAULT_VEHTYPE,0.00,D0E0_0,17.47,5.70,90.00,324.67,-1.60
3.00,1,HBEFA3/PC_G_EU4,4904.19,140.52,0.76,2.16,0.10,1564.23,0.00,67.87,!1,DEFAULT_VEHTYPE,0.00,B2B1_0,11.81,4.51,180.00,98.40,180.99
3.00,2,HBEFA3/PC_G_EU4,3518.08,148.19,0.76,1.57,0.08,1122.15,0.00,65.90,!2,DEFAULT_VEHTYPE,0.00,D2E2_0,7.18,2.08,90.00,314.38,198.40
3.00,3,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.20,0.07,837.22,0.00,55.94,!3,DEFAULT_VEHTYPE,0.00,E1E2_0,5.10,0.00,0.00,401.60,112.30
