id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
13,13.00,A2B2_0,5.10,0.00,0.00,22.00,A2B2_0,85.60,15.53,9.00,80.50,0.00,0,0.00,3.40,0,tripinfo_13 emissions_13 fcd_13,DEFAULT_VEHTYPE,1.12,,1019.442004,55464.125749,5.962446,1.097997,23.545158,17690.471821,0
1,1.00,B2B1_0,5.10,0.00,0.00,24.00,B1B0_0,85.60,5.87,23.00,180.50,0.00,0,0.00,8.99,0,tripinfo_1 emissions_1 fcd_1,DEFAULT_VEHTYPE,0.94,,1555.414261,74166.869674,8.822572,1.376058,31.021863,23655.991981,0
6,6.00,A1A0_0,5.10,0.00,0.00,33.00,B0C0_0,85.60,13.44,27.00,281.84,0.00,0,0.00,6.01,0,tripinfo_6 emissions_6 fcd_6,DEFAULT_VEHTYPE,1.05,,1724.952614,100410.903588,10.160010,1.897484,41.797714,32026.428304,0
21,21.00,B1B2_0,5.10,0.00,0.00,39.00,B2C2_0,85.60,13.48,18.00,175.13,0.00,0,0.00,4.96,0,tripinfo_21 emissions_21 fcd_21,DEFAULT_VEHTYPE,1.01,,1436.799949,83450.324130,8.469929,1.532486,34.595591,26616.836757,0
29,29.00,A4B4_0,5.10,0.00,0.00,47.00,B4C4_0,85.60,12.46,18.00,184.50,0.00,0,0.00,3.58,0,tripinfo_29 emissions_29 fcd_29,DEFAULT_VEHTYPE,0.93,,1028.467425,62558.685757,6.144646,1.066330,25.332284,19953.432663,0
7,7.00,D1C1_0,5.10,0.00,0.00,48.00,C3C2_0,85.60,11.45,41.00,365.40,0.00,0,0.00,9.32,0,tripinfo_7 emissions_7 fcd_7,DEFAULT_VEHTYPE,0.89,,2234.680412,129772.383812,13.197305,2.270738,53.188068,41391.583957,0
17,17.00,B4C4_0,5.10,0.00,0.00,49.00,C3C4_0,85.60,12.59,32.00,265.40,0.00,0,0.00,9.78,0,tripinfo_17 emissions_17 fcd_17,DEFAULT_VEHTYPE,0.94,,2325.769743,121305.459492,13.417093,2.271945,50.740976,38690.987159,0
39,41.00,B2B1_0,5.10,0.00,2.00,62.00,B1C1_0,85.60,11.59,21.00,180.30,0.00,0,0.00,4.69,0,tripinfo_39 emissions_39 fcd_39,DEFAULT_VEHTYPE,0.90,,1385.450102,73799.763913,8.042487,1.354883,30.757846,23538.815901,0
4,4.00,C0D0_0,5.10,0.00,0.00,64.00,A1A0_0,89.60,13.95,60.00,561.22,0.00,0,0.00,18.26,0,tripinfo_4 emissions_4 fcd_4,DEFAULT_VEHTYPE,1.03,,3760.356065,212256.437584,22.020627,3.929782,88.037492,67700.133068,0
37,37.00,D1C1_0,5.10,0.00,0.00,66.00,C0B0_0,85.60,15.23,29.00,274.92,0.00,0,0.00,10.92,0,tripinfo_37 emissions_37 fcd_37,DEFAULT_VEHTYPE,1.18,,2640.896151,142248.194932,15.423262,2.893007,61.053176,45370.462599,0
42,42.00,C0B0_0,5.10,0.00,0.00,70.00,B1B0_0,85.60,14.19,28.00,265.40,0.00,0,0.00,9.13,0,tripinfo_42 emissions_42 fcd_42,DEFAULT_VEHTYPE,1.09,,2429.443633,136166.094928,14.308837,2.711802,57.952607,43430.571466,0
57,57.00,E2E1_0,5.10,0.00,0.00,75.00,E1D1_0,85.60,15.66,18.00,175.13,0.00,0,0.00,5.71,0,tripinfo_57 emissions_57 fcd_57,DEFAULT_VEHTYPE,1.14,,1709.645435,96764.563906,10.099333,1.958241,41.321099,30863.297632,0
3,3.00,E1E2_0,5.10,0.00,0.00,78.00,A2A3_0,85.60,13.90,75.00,574.93,21.00,1,0.00,34.48,0,tripinfo_3 emissions_3 fcd_3,DEFAULT_VEHTYPE,1.08,,7060.141879,271977.606384,38.505777,5.553927,115.932825,86749.326212,0
18,18.00,D4E4_0,5.10,0.00,0.00,82.00,D0C0_0,85.60,12.17,64.00,672.86,0.00,0,0.00,11.18,0,tripinfo_18 emissions_18 fcd_18,DEFAULT_VEHTYPE,0.94,,2540.558054,188989.226686,15.790530,2.955223,74.127095,60279.123457,0
44,44.00,A2B2_0,5.10,0.00,0.00,82.00,A1A2_0,85.60,13.61,38.00,364.39,0.00,0,0.00,10.60,0,tripinfo_44 emissions_44 fcd_44,DEFAULT_VEHTYPE,1.04,,2834.843098,161599.204817,16.632744,3.093285,67.815025,51542.633904,0
11,11.00,B3C3_0,5.10,0.00,0.00,83.00,A4B4_0,89.60,13.35,72.00,461.58,21.00,1,0.00,37.49,0,tripinfo_11 emissions_11 fcd_11,DEFAULT_VEHTYPE,1.03,,6901.727082,241097.494641,37.028895,4.871458,102.787867,76900.321143,0
16,16.00,C3B3_0,5.10,0.00,0.00,84.00,E3E4_0,89.60,12.06,68.00,474.56,16.00,1,0.00,27.08,0,tripinfo_16 emissions_16 fcd_16,DEFAULT_VEHTYPE,0.88,,5191.410151,193256.655521,28.044603,3.544318,79.971279,61641.243321,0
20,20.00,D2C2_0,5.10,0.00,0.00,86.00,A1A2_0,85.60,14.09,66.00,469.56,13.00,1,0.00,29.82,0,tripinfo_20 emissions_20 fcd_20,DEFAULT_VEHTYPE,1.02,,6005.117757,250769.333299,33.206843,4.999542,106.749772,79984.562134,0
30,32.00,E4E3_0,5.10,0.00,2.00,86.00,D0E0_0,89.60,16.03,54.00,574.95,0.00,0,0.00,18.03,0,tripinfo_30 emissions_30 fcd_30,DEFAULT_VEHTYPE,1.18,,3156.729953,200529.490640,18.989686,3.675978,82.613301,63959.599740,0
48,48.00,E4E3_0,5.10,0.00,0.00,86.00,C3B3_0,85.60,11.15,38.00,379.13,0.00,0,0.00,5.83,0,tripinfo_48 emissions_48 fcd_48,DEFAULT_VEHTYPE,0.88,,1598.257970,107847.486045,9.697761,1.697616,42.581889,34398.604949,0
28,28.00,B0A0_0,5.10,0.00,0.00,93.00,D2D3_0,85.60,5.48,65.00,671.11,2.00,1,0.00,20.37,0,tripinfo_28 emissions_28 fcd_28,DEFAULT_VEHTYPE,1.13,,4293.248412,242866.551945,25.146884,4.580888,100.712403,77463.302364,0
23,23.00,A3A2_0,5.10,0.00,0.00,94.00,B2B3_0,85.60,5.59,71.00,280.10,33.00,1,0.00,46.31,0,tripinfo_23 emissions_23 fcd_23,DEFAULT_VEHTYPE,0.89,,8173.542132,209889.607705,42.128252,4.494824,91.550314,66947.341015,0
