Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
3:30:00 PM,6,Wednesday,20,0,0,0,20,heavy
3:30:00 PM,6,Wednesday,10,0,1,1,12,normal
3:30:00 PM,6,Wednesday,6,0,5,0,11,normal
3:30:00 PM,6,Wednesday,3,0,1,0,4,low
3:30:00 PM,6,Wednesday,2,0,2,0,4,low
3:30:00 PM,6,Wednesday,1,0,1,1,3,low
3:30:00 PM,6,Wednesday,6,0,2,0,8,low
3:30:00 PM,6,Wednesday,4,0,0,0,4,low
3:30:00 PM,6,Wednesday,9,0,0,0,9,low
3:30:00 PM,6,Wednesday,0,0,0,0,0,low
3:30:00 PM,6,Wednesday,10,0,0,0,10,normal
3:30:00 PM,6,Wednesday,13,0,0,0,13,normal
3:30:00 PM,6,Wednesday,23,0,2,0,25,heavy
3:30:00 PM,6,Wednesday,20,0,0,0,20,heavy
3:30:00 PM,6,Wednesday,18,0,0,0,18,normal
3:30:00 PM,6,Wednesday,25,0,0,0,25,heavy
3:30:00 PM,6,Wednesday,13,0,0,0,13,normal
3:30:00 PM,6,Wednesday,23,0,0,0,23,heavy
3:30:00 PM,6,Wednesday,23,0,0,0,23,heavy
3:30:00 PM,6,Wednesday,31,0,0,0,31,heavy
3:30:00 PM,6,Wednesday,27,0,0,0,27,heavy
3:30:00 PM,6,Wednesday,27,0,0,0,27,heavy
3:30:00 PM,6,Wednesday,23,0,0,0,23,heavy
3:30:00 PM,6,Wednesday,23,0,0,0,23,heavy
3:30:00 PM,6,Wednesday,9,0,0,1,10,normal
3:30:00 PM,6,Wednesday,3,0,0,1,4,low
3:30:00 PM,6,Wednesday,5,0,0,0,5,low
3:30:00 PM,6,Wednesday,12,0,0,1,13,normal
3:30:00 PM,6,Wednesday,5,0,0,0,5,low
3:30:00 PM,6,Wednesday,11,0,0,0,11,normal
3:30:00 PM,6,Wednesday,11,0,0,0,11,normal
3:30:00 PM,6,Wednesday,7,0,0,0,7,low
3:30:00 PM,6,Wednesday,5,0,0,0,5,low
3:30:00 PM,6,Wednesday,6,0,1,1,8,low
3:30:00 PM,6,Wednesday,12,0,0,1,13,normal
3:30:00 PM,6,Wednesday,9,0,1,0,10,normal
3:30:00 PM,6,Wednesday,11,0,0,0,11,normal
3:30:00 PM,6,Wednesday,9,0,0,0,9,low
3:30:00 PM,6,Wednesday,8,0,0,1,9,low
3:30:00 PM,6,Wednesday,6,0,0,0,6,low
3:30:00 PM,6,Wednesday,10,0,0,0,10,normal
3:30:00 PM,6,Wednesday,12,0,0,0,12,normal
3:30:00 PM,6,Wednesday,9,0,0,0,9,low
3:30:00 PM,6,Wednesday,9,0,0,0,9,low
