Location,Latitude,Longitude
Western & Sarnia Road,43.002027777777776,-81.27655555555556
Wharncliffe N & Oxford St W,42.99202777777778,-81.26491666666666
Oxford St E & Richmond St,42.9955,-81.25319444444445
Richmond St & Queens Ave,42.985,-81.25033333333333
Western & Windermere,43.01497222222222,-81.27669444444444
Richmond St & Fanshawe Park,43.02672222222222,-81.28266666666667
Wonderland N & Fanshawe Park,43.018499999999996,-81.31038888888888
Sarnia & Wonderland,42.99552777777778,-81.29872222222222
Sarnia & Hyde Park Rd,42.98780555555555,-81.32658333333333
Oxford St W & Wonderland N,42.98383333333334,-81.29263888888889
Oxford St W & Capulet Ln,42.98283333333333,-81.29602777777778
Oxford St W & Juniper St,42.97972222222222,-81.30661111111111
Oxford St W & Hyde Park Rd,42.975722222222224,-81.32041666666666
Richmond St & Horton St E,42.979,-81.24733333333333
Dundas St & Colborne St,42.9865,-81.23975
Adelaide St N & Dundas,42.98886111111111,-81.23158333333333
Oxford St E & Adelaide St N,43.000194444444446,-81.23716666666667
Oxford St E & Highbury Ave N,43.00825,-81.20944444444444
Oxford St E & Fanshawe College Blvd,43.012277777777776,-81.19550000000001
Oxford St E & Baransway Dr,43.01361111111111,-81.19086111111112
Oxford St E & Clarke Rd,43.01627777777778,-81.18155555555556
Oxford St E & Veterans Memorial Pkwy,43.022333333333336,-81.16036111111111
Oxford St E & Quebec St,43.003861111111114,-81.22452777777778
Adeladie St N & Huron St,43.01177777777778,-81.243
Wellington Rd & Commissioners Rd E,42.95830555555556,-81.23022222222222
Wellington St & Horton St E,42.98016666666667,-81.24286111111111
Waterloo St & Dundas St,42.98569444444445,-81.24244444444444
Wellington St & Dundas St,42.984944444444444,-81.24527777777777
Clarence St & Dundas St,42.98427777777778,-81.24758333333334
Wharncliffe Rd N & Riverside Dr,42.98291666666667,-81.26272222222222
Richmond St & Sunningdale Rd E,43.038333333333334,-81.28872222222222
Adelaide St N & Fanshawe Park,43.03488888888889,-81.25477777777778
Highbury Ave N & Fanshawe Park Rd E,43.04313888888889,-81.22702777777778
Clarke Rd & Trafalgar St,42.992444444444445,-81.16980555555556
Trafalgar St & Marconi Blvd,42.99311111111111,-81.16758333333334
Clarke Rd & Gore Rd,42.98072222222223,-81.16375000000001
Clarke Rd & Wavell St,42.998583333333336,-81.17277777777778
Clarke Rd & Dumont St,43.00147222222222,-81.17419444444445
